#Measurement:		CV
#Sensor type:		CALICE_6in_256ch
#Needle measurement:	0
#Identifier:		77_20250221_1
#Timestamp:		21.2.2025 10:9 
#Voltage delay:		20.0 s
#Switch delay:		0.3 s
#Compliance level:		2000.00 uA
#Mask pads above:		5.00 uA
#Voltage limit:		100.0 V
#LCR freq.:		2000 Hz
#LCR voltg.:		0.50 V
#Repeat:			1
#Sampling number:		3
#Source as DMM:		0
#Custom channels:		1,48,57,65,120,193,241,256
#Masked channels:		None
#Vltg. sign inversion?:	1
#VISA source:		GPIB0::18::INSTR
#VISA DMM:		GPIB0::25::INSTR
#VISA LCR:		GPIB0::17::INSTR
#HexPlot cmd:		C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_77_20250221_1\CALICE_6in_256ch_77_20250221_1_CV_customscan.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_77_20250221_1\CALICE_6in_256ch_77_20250221_1_CV_customscan.pdf" --CV  --select 200  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx -g "C:\Users\calice\Desktop\SensorTest_CALICE_6in_256ch-melissa_20241018\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\geo\hex_positions_HPK_256ch_6inch_CALICE.txt" --colorpalette 1
#HexPlot analysis cmd:	C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_77_20250221_1\CALICE_6in_256ch_77_20250221_1_CV_customscan.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_77_20250221_1\CALICE_6in_256ch_77_20250221_1_CV_customscan_analysis.pdf" --CV  --select 200  --if SELECTOR:PADNUM:VAL -p PAD --sc 1-120--invertx -g "C:\Users\calice\Desktop\SensorTest_CALICE_6in_256ch-melissa_20241018\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\geo\hex_positions_HPK_256ch_6inch_CALICE.txt" --colorpalette 1
#HexPlot on matrix cmd:	C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_77_20250221_1\CALICE_6in_256ch_77_20250221_1_CV_customscan.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_77_20250221_1\CALICE_6in_256ch_77_20250221_1_CV_customscan.pdf" --CV  --select 200  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx -g "C:\Users\calice\Desktop\SensorTest_CALICE_6in_256ch-melissa_20241018\HGCAL_sensor_tests-CALICE_6in_256ch\geo\switch_matrix.txt" -m "C:\Users\calice\Desktop\SensorTest_CALICE_6in_256ch-melissa_20241018\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\maps\Probe_card_CALICE_6in_256ch.txt"  --colorpalette 1
#Voltage file:		C:\Users\calice\Desktop\ProbeStation\SensorTest_CALICE_6in_256ch\HGCAL_sensor_tests-CALICE_6in_256ch\config\Voltages_20250214.txt
#CV correction file:		None
#Comments:		sensor aligned, mark on top, test few channels cold lab

#Voltage	#Channel	#Cs        	#Error     	#Tot. curr.	#Act. vlt.	#Time 	#Temp	#Hum.	#Cp        	#Error     	#Impedance 	#Error     	#Phase      	#Error     	#Cs uncorr.	#Cp uncorr.
#[V]    	#       	#[pF]      	#[pF]      	#[nA]      	#[V]      	#[s]  	#[C] 	#[%] 	#[pF]      	#[pF]      	#[Ohm]     	#[Ohm]     	#[Rad]      	#[Rad]     	#[pF]      	#[pF]      
20.0    	241     	6.660733E+0	2.291113E-3	3.18E+1    	20.00     	189.24	19.8 	31.6 	6.646285E+0	5.448250E-6	1.196023E+7	4.154917E+3	-1.617387E+0	2.650157E-4	6.660733E+0	6.646285E+0
20.0    	256     	6.666885E+0	8.425222E-4	3.17E+1    	20.00     	191.84	19.8 	31.6 	6.652605E+0	7.399861E-7	1.194903E+7	1.527525E+3	-1.617093E+0	4.509250E-5	6.666885E+0	6.652605E+0
25.0    	1       	2.115303E+0	1.492581E-3	4.08E+1    	25.00     	223.67	19.8 	31.6 	2.084703E+0	2.060048E-6	3.789500E+7	2.632546E+4	-1.691363E+0	4.718404E-4	2.115303E+0	2.084703E+0
25.0    	48      	6.124381E+0	2.474235E-3	1.43E+1    	25.00     	225.99	19.8 	31.6 	6.105935E+0	6.000296E-6	1.301317E+7	5.229085E+3	-1.625703E+0	4.329357E-4	6.124381E+0	6.105935E+0
25.0    	57      	1.942336E+0	2.271036E-3	1.52E+1    	25.00     	228.57	19.8 	31.6 	1.890967E+0	2.639631E-6	4.152277E+7	4.210491E+4	-1.734143E+0	9.555278E-4	1.942336E+0	1.890967E+0
25.0    	65      	5.864854E+0	2.740919E-3	1.20E+1    	25.00     	231.14	19.8 	31.6 	5.847232E+0	7.732509E-6	1.358897E+7	6.407288E+3	-1.625640E+0	1.322876E-4	5.864854E+0	5.847232E+0
25.0    	120     	5.784499E+0	1.726806E-3	1.33E+1    	25.00     	233.71	19.8 	31.6 	5.766814E+0	3.078687E-6	1.377810E+7	4.150904E+3	-1.626117E+0	1.625833E-4	5.784499E+0	5.766814E+0
25.0    	193     	1.866659E+0	2.576615E-3	1.41E+1    	25.00     	236.29	19.8 	31.6 	1.861115E+0	7.068359E-6	4.269447E+7	5.997769E+4	-1.625320E+0	6.502307E-4	1.866659E+0	1.861115E+0
25.0    	241     	6.127826E+0	3.099997E-3	1.20E+1    	25.00     	238.86	19.8 	31.6 	6.111862E+0	9.278767E-6	1.300320E+7	6.518435E+3	-1.621857E+0	5.450076E-4	6.127826E+0	6.111862E+0
25.0    	256     	6.134778E+0	1.504910E-3	1.49E+1    	25.00     	241.44	19.8 	31.6 	6.118760E+0	2.088498E-6	1.298850E+7	3.124100E+3	-1.621917E+0	2.324507E-4	6.134778E+0	6.118760E+0
30.0    	1       	2.085615E+0	2.831725E-4	4.35E+1    	30.01     	273.32	19.8 	31.6 	2.054255E+0	3.207105E-8	3.844553E+7	3.696395E+3	-1.693727E+0	4.966219E-4	2.085615E+0	2.054255E+0
30.0    	48      	5.726323E+0	1.119524E-3	1.29E+1    	30.01     	275.59	19.8 	31.6 	5.705844E+0	1.039706E-6	1.392170E+7	2.600000E+3	-1.630633E+0	2.400694E-4	5.726323E+0	5.705844E+0
30.0    	57      	1.905911E+0	1.236404E-3	1.70E+1    	30.01     	278.17	19.8 	31.6 	1.853342E+0	1.328143E-6	4.234100E+7	2.667358E+4	-1.737647E+0	4.966219E-4	1.905911E+0	1.853342E+0
30.0    	65      	5.479356E+0	8.233315E-4	1.24E+1    	30.01     	280.75	19.8 	31.6 	5.460073E+0	6.376599E-7	1.454877E+7	2.145538E+3	-1.630153E+0	2.565801E-4	5.479356E+0	5.460073E+0
30.0    	120     	5.390382E+0	2.262518E-3	1.68E+1    	30.00     	283.33	19.8 	31.6 	5.371081E+0	5.483056E-6	1.478937E+7	6.326400E+3	-1.630670E+0	2.107131E-4	5.390382E+0	5.371081E+0
30.0    	193     	1.841578E+0	1.638023E-3	1.24E+1    	30.00     	285.89	19.8 	31.6 	1.834357E+0	2.802432E-6	4.329657E+7	3.899556E+4	-1.633457E+0	1.985783E-4	1.841578E+0	1.834357E+0
30.0    	241     	5.735929E+0	1.316592E-3	1.43E+1    	30.00     	288.47	19.8 	31.6 	5.718530E+0	1.772178E-6	1.389460E+7	3.207803E+3	-1.625900E+0	2.080865E-4	5.735929E+0	5.718530E+0
30.0    	256     	5.742604E+0	1.557854E-3	1.42E+1    	30.00     	291.04	19.8 	31.6 	5.725171E+0	1.993281E-6	1.387847E+7	3.564174E+3	-1.625920E+0	6.378871E-4	5.742604E+0	5.725171E+0
35.0    	1       	2.064576E+0	7.815361E-4	4.46E+1    	35.00     	322.98	19.8 	31.6 	2.030023E+0	1.176598E-6	3.887087E+7	1.746463E+4	-1.700527E+0	8.561737E-4	2.064576E+0	2.030023E+0
35.0    	48      	5.422043E+0	2.971114E-3	1.75E+1    	35.00     	325.37	19.8 	31.6 	5.400210E+0	9.227147E-6	1.470630E+7	8.166395E+3	-1.634297E+0	1.171893E-4	5.422043E+0	5.400210E+0
35.0    	57      	1.879438E+0	3.330228E-3	1.30E+1    	35.00     	327.94	19.8 	31.5 	1.825391E+0	6.593958E-6	4.296343E+7	6.796509E+4	-1.741193E+0	1.438066E-3	1.879438E+0	1.825391E+0
35.0    	65      	5.190001E+0	3.163232E-3	1.51E+1    	35.00     	330.55	19.8 	31.6 	5.169738E+0	1.014389E-5	1.536287E+7	9.407621E+3	-1.633320E+0	4.293018E-4	5.190001E+0	5.169738E+0
